,island,sent_number,token,critical,surprisal
4,0,7,が,0,2.3538639545440700
5,0,7,先月,0,9.236416816711430
6,0,7,ガイドブック,0,13.252379417419400
7,0,7,で,0,3.3244669437408400
8,0,7,特集,0,11.597816467285200
9,0,7,さ,0,2.569563150405880
10,0,7,れ,0,0.34385690093040500
11,0,7,た,0,0.8768296241760250
12,0,7,の,0,3.893765449523930
13,0,7,で,0,12.786253929138200
14,0,7,、,0,3.8488821983337400
15,0,7,外国,1,7.822615623474120
16,0,7,人,1,4.370541572570800
17,0,7,は,1,1.9669424295425400
18,0,7,周り,1,9.839917182922360
19,0,7,に,1,1.7286025285720800
20,0,7,認め,1,7.298657417297360
21,0,7,られ,1,2.8925814628601100
22,0,7,た,1,1.0057029724121100
23,0,7,。,1,0.5639780163764950
24,0,7,</s>,1,2.616168260574340
0,0,8,受け,0,9.759384155273440
1,0,8,た,0,4.088410377502440
2,0,8,難病,0,12.63793659210210
3,0,8,の,0,2.1669561862945600
4,0,8,診断,0,10.033160209655800
5,0,8,が,0,2.813683271408080
6,0,8,今朝,0,13.276800155639600
7,0,8,社内,0,12.07072639465330
8,0,8,で,0,2.7535624504089400
9,0,8,公表,0,8.816155433654790
10,0,8,さ,0,1.578919768333440
11,0,8,れ,0,0.3935408294200900
12,0,8,た,0,0.9294286370277410
13,0,8,の,0,4.2872467041015600
14,0,8,で,0,12.692814826965300
15,0,8,、,0,3.862637519836430
16,0,8,重役,1,11.855057716369600
17,0,8,は,1,2.7628138065338100
18,0,8,引き継ぎ,1,11.789320945739700
19,0,8,を,1,3.714909076690670
20,0,8,始め,1,5.034913063049320
21,0,8,た,1,1.1467167139053300
22,0,8,。,1,0.3708496391773220
23,0,8,</s>,1,2.6022098064422600
0,0,9,エッセー,0,11.130735397338900
1,0,9,を,0,3.6557199954986600
2,0,9,書い,0,8.222660064697270
3,0,9,た,0,1.0719811916351300
4,0,9,こと,0,2.836210250854490
5,0,9,が,0,1.460193157196050
6,0,9,作家,0,11.366778373718300
7,0,9,に,0,1.7047038078308100
8,0,9,称賛,0,10.06815242767330
9,0,9,さ,0,2.292430877685550
10,0,9,れ,0,0.4437330961227420
11,0,9,た,0,0.8936372399330140
12,0,9,女性,1,7.760126113891600
13,0,9,議員,1,9.465853691101070
14,0,9,は,1,2.5921308994293200
15,0,9,感謝,1,9.639633178710940
16,0,9,を,1,2.9510743618011500
17,0,9,述べ,1,7.331940650939940
18,0,9,た,1,1.031814455986020
19,0,9,。,1,0.29052895307540900
20,0,9,</s>,1,2.3706071376800500
0,0,10,論文,0,9.244823455810550
1,0,10,を,0,3.788646936416630
2,0,10,書い,0,8.308921813964840
3,0,10,た,0,1.0065581798553500
4,0,10,こと,0,2.8859848976135300
5,0,10,が,0,1.4920316934585600
6,0,10,世界,0,7.171293258666990
7,0,10,中,0,11.60197639465330
8,0,10,の,0,2.0826570987701400
9,0,10,学者,0,10.305611610412600
10,0,10,から,0,4.766407012939450
11,0,10,注目,0,7.57668924331665
12,0,10,さ,0,1.633652687072750
13,0,10,れ,0,0.34518951177597000
14,0,10,た,0,1.0427842140197800
15,0,10,教授,1,11.256071090698200
16,0,10,は,1,2.5239510536193800
17,0,10,多忙,1,12.051535606384300
18,0,10,を,1,2.843441963195800
19,0,10,極め,1,9.717779159545900
20,0,10,た,1,1.0427995920181300
21,0,10,。,1,0.3756257891654970
22,0,10,</s>,1,2.5937705039978000
0,0,11,絵画,0,9.622034072875980
1,0,11,を,0,3.513681173324590
